ZipCode,Latitude,Longitude,County_Name,Population_2010,Description
23085,37.6699,-76.8775,King and Queen County,6945,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23091,37.6642,-76.8255,King and Queen County,6945,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23092,37.5826,-76.4984,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23108,37.6271,-76.7072,King and Queen County,6945,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23110,37.6135,-76.8101,King and Queen County,6945,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23126,37.9226,-77.1449,King and Queen County,6945,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23148,37.8479,-77.055,King and Queen County,6945,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23149,37.5949,-76.5921,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23156,37.5213,-76.7099,King and Queen County,6945,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23161,37.7146,-76.9352,King and Queen County,6945,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23169,37.6009,-76.4575,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23175,37.6356,-76.5918,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23176,37.5681,-76.4323,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23177,37.7554,-77.0185,King and Queen County,6945,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23180,37.7105,-76.6227,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23307,37.439,-75.881,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23310,37.2799,-75.9721,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23313,37.2019,-75.9524,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23316,37.2896,-75.9713,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23347,37.3526,-75.9458,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23350,37.5117,-75.8526,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23354,37.4588,-75.9007,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23398,37.5151,-75.9305,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23405,37.4014,-75.9082,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23408,37.4556,-75.8473,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23413,37.4728,-75.858,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23419,37.3074,-75.9269,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23429,37.2711,-75.9536,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23443,37.1882,-75.969,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23482,37.5349,-75.8769,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23486,37.5157,-75.8066,Northampton County,12389,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23839,37.0981,-76.8966,Surry County,7058,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23846,37.0701,-76.8337,Surry County,7058,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23881,37.1901,-76.9923,Surry County,7058,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23883,37.126,-76.7651,Surry County,7058,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23899,37.2279,-76.9641,Surry County,7058,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23923,37.0879,-78.6378,Charlotte County,12586,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23934,37.1552,-78.6459,Charlotte County,12586,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23937,36.9688,-78.5615,Charlotte County,12586,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23947,37.0411,-78.4699,Charlotte County,12586,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23959,37.0925,-78.7912,Charlotte County,12586,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23962,36.9515,-78.7054,Charlotte County,12586,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23963,37.1914,-78.8145,Charlotte County,12586,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23964,36.7724,-78.6321,Charlotte County,12586,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23967,36.9053,-78.6321,Charlotte County,12586,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23976,36.8391,-78.5982,Charlotte County,12586,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24053,36.6139,-80.5093,Patrick County,18490,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24076,36.5896,-80.4184,Patrick County,18490,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24082,36.6211,-80.1298,Patrick County,18490,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24120,36.725,-80.4022,Patrick County,18490,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24133,36.6744,-80.1388,Patrick County,18490,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24171,36.6517,-80.2392,Patrick County,18490,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24177,36.7241,-80.3581,Patrick County,18490,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24185,36.7921,-80.2774,Patrick County,18490,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24314,37.1574,-81.1989,Bland County,6824,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24315,37.1376,-81.0201,Bland County,6824,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24318,37.0046,-81.3643,Bland County,6824,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24366,37.2578,-81.1159,Bland County,6824,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24412,38.054,-79.8437,Bath County,4731,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24413,38.5152,-79.5613,Highland County,2321,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24433,38.4321,-79.4445,Highland County,2321,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24442,38.2946,-79.4353,Highland County,2321,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24445,37.9638,-79.8717,Bath County,4731,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24458,38.3266,-79.4988,Highland County,2321,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24460,38.0553,-79.7464,Bath County,4731,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24465,38.4058,-79.5941,Highland County,2321,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24484,38.1437,-79.8207,Bath County,4731,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24487,38.1898,-79.5879,Bath County,4731,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24910,37.7371,-80.661,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24918,37.498,-80.7614,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24941,37.589,-80.3401,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24945,37.5435,-80.6826,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24951,37.4817,-80.6203,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24963,37.4147,-80.7686,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24974,37.6654,-80.454,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24976,37.6643,-80.5409,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24983,37.5802,-80.5248,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24984,37.4645,-80.4634,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24985,37.5937,-80.7458,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
24993,37.552,-80.5397,Monroe County,13502,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
25234,38.8227,-81.1551,Calhoun County,7627,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
25235,38.6686,-81.0944,Calhoun County,7627,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
25261,38.8015,-81.0962,Calhoun County,7627,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
25268,38.7481,-81.0998,Calhoun County,7627,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
25411,39.5526,-78.1877,Morgan County,17541,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
25422,39.5836,-78.3331,Morgan County,17541,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
25434,39.4923,-78.4586,Morgan County,17541,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26136,38.9719,-81.136,Calhoun County,7627,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26137,38.9854,-81.0721,Calhoun County,7627,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26147,38.9324,-81.0763,Calhoun County,7627,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26148,39.0806,-81.1776,Ritchie County,10449,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26151,38.8286,-81.1322,Calhoun County,7627,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26152,39.0054,-81.2062,Calhoun County,7627,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26161,39.1741,-81.2406,Ritchie County,10449,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26178,39.0671,-81.062,Ritchie County,10449,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26260,39.0882,-79.4563,Tucker County,7141,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26269,39.0821,-79.6453,Tucker County,7141,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26271,39.0748,-79.6303,Tucker County,7141,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26287,39.096,-79.6787,Tucker County,7141,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26289,39.1179,-79.5637,Tucker County,7141,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26292,39.1505,-79.503,Tucker County,7141,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26325,39.0864,-80.8837,Ritchie County,10449,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26327,39.1365,-80.9337,Ritchie County,10449,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26335,38.7775,-80.657,Braxton County,14523,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26337,39.2325,-81.1554,Ritchie County,10449,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26346,39.2969,-81.0621,Ritchie County,10449,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26362,39.1453,-81.0341,Ritchie County,10449,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26415,39.2791,-81.0019,Ritchie County,10449,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26421,39.19,-80.9347,Ritchie County,10449,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26601,38.6541,-80.676,Braxton County,14523,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26615,38.8376,-80.7295,Braxton County,14523,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26619,38.7358,-80.7324,Braxton County,14523,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26621,38.7232,-80.6498,Braxton County,14523,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26623,38.6305,-80.8589,Braxton County,14523,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26624,38.6862,-80.7863,Braxton County,14523,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26627,38.7621,-80.6406,Braxton County,14523,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26629,38.579,-80.7068,Braxton County,14523,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26631,38.7909,-80.5887,Braxton County,14523,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26802,38.6357,-79.2096,Pendleton County,7695,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26804,38.623,-79.5367,Pendleton County,7695,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26807,38.64,-79.3538,Pendleton County,7695,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26814,38.744,-79.4359,Pendleton County,7695,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26815,38.489,-79.3593,Pendleton County,7695,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
26866,38.795,-79.2586,Pendleton County,7695,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
